,0
PropertyGFABuilding(s),0.8948163067546383
Energy Use_Natural Gas,0.02821579349408208
NumberofFloors,0.02590910841337984
Energy Use_Electricity,0.021046096898217997
Latitude,0.0049223491835994415
YearBuilt,0.00431724731668526
BuildingType_Multifamily HR (10+),0.00426791418321688
Longitude,0.004087740506928114
Energy Efficiency Class_0,0.0024422097822972364
Daytime Temperature (C),0.0012037467778517647
